column,dtype,train_count,test_count,train_null_pct,test_null_pct,drift_detected,drift_score,metrics
loan_age_months,int64,66632,5857,0.0,0.0,True,8.152932713421368,"{'ks_statistic': 0.5736190621752644, 'ks_pvalue': 0.0, 'psi': 2.038233178355342, 'train_mean': 4.626770920878857, 'test_mean': 9.34693529110466, 'train_std': 2.829135846088891, 'test_std': 2.8169031255370505, 'train_median': 4.0, 'test_median': 10.0}"
month_index,int64,66632,5857,0.0,0.0,True,8.152932713421368,"{'ks_statistic': 0.5736190621752644, 'ks_pvalue': 0.0, 'psi': 2.038233178355342, 'train_mean': 3.626770920878857, 'test_mean': 8.34693529110466, 'train_std': 2.829135846088891, 'test_std': 2.8169031255370505, 'train_median': 3.0, 'test_median': 9.0}"
remaining_term_months,int64,66632,5857,0.0,0.0,True,6.047970642401957,"{'ks_statistic': 0.1944772900484315, 'ks_pvalue': 7.293544461467851e-179, 'psi': 1.5119926606004892, 'train_mean': 256.96423640292954, 'test_mean': 252.26429912924706, 'train_std': 75.17681735714525, 'test_std': 74.55899814965264, 'train_median': 237.0, 'test_median': 231.0}"
last_updated_at,datetime64[ns],66632,5857,0.0,0.0,True,1.0,"{'chi_square': 2991.4564284463795, 'chi_pvalue': 3.3691768166839924e-35, 'train_2019-01-24 00:00:00_pct': 0.06453355744987394, 'test_2019-01-24 00:00:00_pct': 0.20488304592794948, 'train_2020-01-08 00:00:00_pct': 0.05853043582662985, 'test_2020-01-08 00:00:00_pct': 0.2561038074099368, 'train_2020-02-29 00:00:00_pct': 0.13356945611718093, 'test_2020-02-29 00:00:00_pct': 0.08536793580331228, 'train_2021-02-28 00:00:00_pct': 0.18309520950894465, 'test_2021-02-28 00:00:00_pct': 0.1536622844459621, 'train_2020-04-09 00:00:00_pct': 0.05853043582662985, 'test_2020-04-09 00:00:00_pct': 0.20488304592794948, 'train_2019-02-28 00:00:00_pct': 0.18609677032056668, 'test_2019-02-28 00:00:00_pct': 0.10244152296397474, 'train_2023-02-28 00:00:00_pct': 0.11105775003001561, 'test_2023-02-28 00:00:00_pct': 0.08536793580331228, 'train_2022-09-30 00:00:00_pct': 0.08554448313122824, 'test_2022-09-30 00:00:00_pct': 0.20488304592794948, 'train_2018-10-27 00:00:00_pct': 0.06003121623244087, 'test_2018-10-27 00:00:00_pct': 0.187809458767287, 'train_2022-02-28 00:00:00_pct': 0.1725897466682675, 'test_2022-02-28 00:00:00_pct': 0.1195151101246372}"
origination_month,datetime64[ns],66632,5857,0.0,0.0,True,1.0,"{'chi_square': 72.83500169200529, 'chi_pvalue': 0.10636391201958317, 'train_2018-01-01 00:00:00_pct': 1.8114419498139034, 'test_2018-01-01 00:00:00_pct': 1.8439474133515452, 'train_2018-03-01 00:00:00_pct': 1.8654700444230998, 'test_2018-03-01 00:00:00_pct': 1.9293153491548574, 'train_2021-10-01 00:00:00_pct': 1.7574138552047063, 'test_2021-10-01 00:00:00_pct': 2.134198395082807, 'train_2020-10-01 00:00:00_pct': 1.6343498619282026, 'test_2020-10-01 00:00:00_pct': 2.0829776336008194, 'train_2018-10-01 00:00:00_pct': 1.8774762876695883, 'test_2018-10-01 00:00:00_pct': 1.9122417619941952, 'train_2022-07-01 00:00:00_pct': 1.8399567775243124, 'test_2022-07-01 00:00:00_pct': 2.0146832849581697, 'train_2018-08-01 00:00:00_pct': 1.6973826389722655, 'test_2018-08-01 00:00:00_pct': 2.065904046440157, 'train_2022-05-01 00:00:00_pct': 1.7799255612918718, 'test_2022-05-01 00:00:00_pct': 1.997609697797507, 'train_2022-01-01 00:00:00_pct': 1.8264497538720135, 'test_2022-01-01 00:00:00_pct': 1.9634625234761824}"
reporting_month,datetime64[ns],66632,5857,0.0,0.0,True,1.0,"{'chi_square': 1842.6973378285722, 'chi_pvalue': 0.0, 'train_2022-09-01 00:00:00_pct': 1.6913795173490214, 'test_2022-09-01 00:00:00_pct': 1.9463889363155198, 'train_2022-08-01 00:00:00_pct': 1.649357665986313, 'test_2022-08-01 00:00:00_pct': 1.997609697797507, 'train_2020-08-01 00:00:00_pct': 1.7439068315524073, 'test_2020-08-01 00:00:00_pct': 1.2975926242103466, 'train_2020-10-01 00:00:00_pct': 1.74840917276984, 'test_2020-10-01 00:00:00_pct': 1.8098002390302201, 'train_2021-08-01 00:00:00_pct': 1.73340136871173, 'test_2021-08-01 00:00:00_pct': 1.536622844459621, 'train_2019-06-01 00:00:00_pct': 1.7288990274942972, 'test_2019-06-01 00:00:00_pct': 1.8098002390302201, 'train_2019-03-01 00:00:00_pct': 1.6748709328851001, 'test_2019-03-01 00:00:00_pct': 2.0829776336008194, 'train_2022-02-01 00:00:00_pct': 1.664365470044423, 'test_2022-02-01 00:00:00_pct': 1.997609697797507, 'train_2019-07-01 00:00:00_pct': 1.736402929523352, 'test_2019-07-01 00:00:00_pct': 1.7415058903875704, 'train_2020-01-01 00:00:00_pct': 1.6508584463921239, 'test_2020-01-01 00:00:00_pct': 1.9634625234761824}"
credit_score_band,float64,66632,5857,1.0,1.0,False,0.0,{}
current_balance,float64,66632,5857,0.0,0.0,False,0.0,"{'ks_statistic': 0.016747048912762685, 'ks_pvalue': 0.09649862356327654, 'psi': 0.0020864912112227114, 'train_mean': 295557.8524741992, 'test_mean': 292765.4082077564, 'train_std': 114355.38798367005, 'test_std': 113138.48148821463, 'train_median': 296738.22781220573, 'test_median': 292253.76033292525}"
current_status,float64,66632,5857,1.0,1.0,False,0.0,{}
days_past_due,int64,66632,5857,0.0,0.0,False,0.0,"{'ks_statistic': 0.11546689270737664, 'ks_pvalue': 5.423791857384692e-63, 'psi': 0.11567000845135228, 'train_mean': 23.404730459839115, 'test_mean': 32.48574355472085, 'train_std': 45.18949664367908, 'test_std': 58.541472530821984, 'train_median': 0.0, 'test_median': 0.0}"
default_flag,boolean,66632,5857,0.0,0.0,False,0.0,"{'ks_statistic': 0.09475099836617107, 'ks_pvalue': 1.6098782512445644e-42, 'psi': 0.0, 'train_mean': 0.02971545203505823, 'test_mean': 0.12446645040122929, 'train_std': 0.1698024636557838, 'test_std': 0.3301411246244394, 'train_median': 0.0, 'test_median': 0.0}"
document_status,float64,66632,5857,1.0,1.0,False,0.0,{}
dti_band,float64,66632,5857,1.0,1.0,False,0.0,{}
exception_required,int64,66632,5857,0.0,1.0,False,0.0,{}
exception_type,float64,66632,5857,1.0,1.0,False,0.0,{}
interest_rate,float64,66632,5857,0.0,0.0,False,0.0,"{'ks_statistic': 0.014043335486476183, 'ks_pvalue': 0.2365731335069251, 'psi': 0.0021395216170566242, 'train_mean': 5.000869072174253, 'test_mean': 4.990017841711925, 'train_std': 1.445284582544728, 'test_std': 1.4496593766689476, 'train_median': 5.013690176454292, 'test_median': 4.956231723426862}"
loan_id,int64,66632,5857,0.0,0.0,False,0.0,"{'ks_statistic': 0.012869659612446988, 'ks_pvalue': 0.33169442698053586, 'psi': 0.0017699035334160689, 'train_mean': 4991.13010265338, 'test_mean': 4967.989585111832, 'train_std': 2893.9634138108513, 'test_std': 2932.540685071189, 'train_median': 4999.0, 'test_median': 4958.0}"
loan_purpose,float64,66632,5857,1.0,1.0,False,0.0,{}
loss_severity_band,float64,66632,5857,1.0,1.0,False,0.0,{}
ltv_band,float64,66632,5857,1.0,1.0,False,0.0,{}
modification_flag,boolean,66632,5857,0.0,0.0,False,0.0,"{'ks_statistic': 0.0024286250157918854, 'ks_pvalue': 0.9999999999999996, 'psi': 0.0, 'train_mean': 0.0496458158242286, 'test_mean': 0.05207444084002049, 'train_std': 0.21721375852104394, 'test_std': 0.22219613604407162, 'train_median': 0.0, 'test_median': 0.0}"
next_12m_default_flag,boolean,66632,5857,0.0,1.0,False,0.0,{}
next_12m_prepayment_flag,boolean,66632,5857,0.0,1.0,False,0.0,{}
next_3m_delinquency_flag,boolean,66632,5857,0.0,1.0,False,0.0,{}
next_6m_delinquency_flag,boolean,66632,5857,0.0,1.0,False,0.0,{}
next_state,float64,66632,5857,1.0,1.0,False,0.0,{}
occupancy_type,float64,66632,5857,1.0,1.0,False,0.0,{}
original_balance,float64,66632,5857,0.0,0.0,False,0.0,"{'ks_statistic': 0.007862195734645305, 'ks_pvalue': 0.8906337805902694, 'psi': 0.000653533269560114, 'train_mean': 299173.9019198074, 'test_mean': 299792.39821529604, 'train_std': 115701.64181382192, 'test_std': 115804.53425933943, 'train_median': 300501.4608941361, 'test_median': 299940.5602173069}"
prepayment_flag,boolean,66632,5857,0.0,0.0,False,0.0,"{'ks_statistic': 0.050606325533429586, 'ks_pvalue': 2.0116954676364303e-12, 'psi': 0.0, 'train_mean': 0.007443870812822668, 'test_mean': 0.058050196346252345, 'train_std': 0.08595679430017622, 'test_std': 0.23385830869453902, 'train_median': 0.0, 'test_median': 0.0}"
property_type,float64,66632,5857,1.0,1.0,False,0.0,{}
servicer_name,float64,66632,5857,1.0,1.0,False,0.0,{}
source_system,float64,66632,5857,1.0,1.0,False,0.0,{}
state,float64,66632,5857,1.0,1.0,False,0.0,{}
